Food_Name,Temperature,Humidity,Methane,CO2,Storage_Days,Spoiled
Beef,3.72,60.18,7.23,462.74,0.7,0
Mushroom,3.87,58.71,2.86,485.25,1.4,0
Mushroom,4.27,53.82,4.99,419.26,0.5,0
Strawberry,19.24,83.2,144.09,1865.41,6.9,2
Beef,11.75,70.68,42,797.83,3.7,1
Eggs,10.53,57.23,33.02,687.06,8.2,1
Cheese,8.47,52.33,41.14,862.56,6.9,1
Strawberry,18.94,79.92,142.93,1804.49,5,2
Potato,7.35,53.39,4.15,411.96,3.7,0
Bread,20.53,39.75,2.7,378.55,2.7,0
Eggs,10.33,64.05,38.63,786.51,6.5,1
Beef,25.34,81.38,132.09,2147.98,6.9,2
Strawberry,10.11,65.47,31.17,727.92,3.3,1
Milk,14.59,73.79,114.89,1581.68,7,2
Apple,20.67,84.11,112.02,1860.77,9.6,2
Beef,2.23,53.15,7.54,388.97,0.6,0
Yogurt,8.15,68.7,30.5,819.46,4.9,1
Spinach,18.91,87.56,117.35,1900.57,6.4,2
Potato,8.24,45.5,1.45,383.75,3.8,0
Yogurt,8.61,56.71,32.42,743.27,6.1,1
Strawberry,4.4,44.72,3.99,424.3,0.8,0
Apple,20.43,74.22,115.51,1946.84,9.1,2
Tomato,9.16,53.71,4.14,427.32,1.2,0
Mushroom,5.67,57.27,4.88,420.93,1.3,0
Eggs,10,51.98,19.91,721.16,8.8,1
Yogurt,8.61,67.78,30.41,797.82,4.6,1
Chicken,1.9,52.08,5.32,415.59,1.4,0
Chicken,3.44,57.19,6.93,409.13,0.3,0
Bread,24.11,76.47,96.25,1773.15,9.3,2
Fish,19.28,86.34,136.4,2040.26,5,2
Beef,9.66,73.8,34.38,817.97,3.3,1
Beef,2.24,49.31,6.26,,1.2,0
Strawberry,10.11,65.34,,776.82,2,1
Apple,12.87,62.23,40.41,652.2,4.6,1
Strawberry,9.78,65.71,48.16,794.97,1.9,1
Chicken,2.24,50.62,5.61,,0.5,0
Eggs,5.99,41.82,5.49,390.54,2.3,0
Fish,1.63,51,4.6,438.16,1.1,0
Chicken,9.56,65.98,37.57,913.11,2.7,1
Fish,2.77,55.75,5.21,392.09,1.3,0
Chicken,10.6,66.75,51.33,861.04,2.8,1
Eggs,9.21,55.74,36.1,710.08,6.2,1
Strawberry,10.84,63.15,39.09,752.14,2.4,1
Beef,10.98,67.41,43.6,952.34,3.5,1
Cheese,9.33,57.82,34.99,766.59,6.5,1
Fish,3.66,54.07,6.35,433.55,0.7,0
Milk,3.96,53.09,2.61,438.28,1.1,0
Yogurt,10.48,64.53,25.02,715.08,4.7,1
Potato,12.19,62.16,23.9,713.68,7.2,1
Apple,11.73,67.61,34.08,809.85,4.3,1
Bread,22.76,55.26,29.9,622.43,3.2,1
Apple,5.47,52.9,4.94,410.12,1.7,0
Bread,18.07,44.22,1.89,384.85,1.7,0
Bread,21.05,56.08,26.73,739.99,3.8,1
Eggs,12.4,63.96,37.94,757.18,8.2,1
Spinach,11.19,70.39,30.1,839.21,3.8,1
Yogurt,4.3,53.29,4.3,396.7,2.6,0
Potato,19.76,81.72,97.4,1638.35,12.3,2
Tomato,8.57,47.97,4.37,420.84,1.6,0
Eggs,12.25,65.04,28.92,773.9,6.6,1
Tomato,15.8,54.77,44.69,866.18,4.5,1
Milk,8.4,59.47,31.69,799.04,4.4,1
Tomato,21.23,87.11,130.11,1631.07,8.3,2
Bread,18.55,45.34,2.26,394.99,2,0
Eggs,5.48,45.38,3.91,413.45,3.6,0
Fish,2.69,50.25,7.23,411.72,0.7,0
Spinach,19.97,84.25,97.88,1832.78,7.1,2
Mushroom,21.38,78.75,117.99,1823.79,6.3,2
Potato,14.99,60.23,33.94,698.9,7.6,1
Chicken,9.81,64.41,46.91,807.73,3.2,1
Chicken,3.06,46.88,6.31,419.57,1.1,0
Potato,20.88,70.4,101.46,1860.43,9.9,2
Mushroom,5.92,53.58,5.89,394,1.2,0
Strawberry,4.95,52.2,5.72,415.95,0.8,0
Apple,21.75,82.62,127.96,1686.58,10.5,2
Eggs,4.65,50.48,3.71,392.59,3.3,0
Strawberry,16.03,84.83,126.13,1939.43,4.5,2
Mushroom,20.79,79.94,113.98,1639.67,6.2,2
Eggs,18.81,77.55,101.29,1662.32,13.7,2
Milk,9.3,61.75,33.24,692.17,3.8,1
Yogurt,3.36,50.75,5.99,361.64,1.4,0
Spinach,11.12,62.38,47.23,765.15,3.5,1
Apple,22.86,73.25,115.42,1898.85,10.5,2
Chicken,9.53,70.43,31.13,815.39,2.2,1
Fish,18.45,85.33,129.03,2072.1,3.4,2
Mushroom,24.23,90.95,129.06,1806.96,5.8,2
Cheese,9.29,60.31,35.17,794.99,7.4,1
Eggs,22.65,84.23,98.97,1460.79,13,2
Potato,9.3,49.5,4.58,370.07,4.3,0
Milk,15.61,86.55,110.45,1742.57,7.5,2
Bread,22.83,71.01,98.22,1616.85,7.7,2
Mushroom,5.39,58.62,6.42,406.41,1.1,0
Strawberry,9.53,62.38,49.64,882.2,3.1,1
Milk,7.45,67.23,44.06,677.88,3.1,1
Yogurt,15.01,76.85,100.99,1634.8,9.7,2
Fish,1.75,53.27,5.82,425.84,0.8,0
Spinach,11.37,67.77,36.49,837.05,2.6,1
Spinach,11.67,72.45,33.45,870.75,4.4,1
Mushroom,4.13,59.05,4.42,415.56,0.8,0
Cheese,13.76,86.1,107.38,1691,14.8,2
Apple,12.63,61.03,35.68,785.82,5.7,1
Orange,12.51,59.7,34.12,792,6.3,1
Strawberry,24.37,76.27,109.81,1999.57,4.2,2
Beef,3.78,50.1,5.79,411.35,1.6,0
Fish,1.72,58.24,5.32,400.44,0.6,0
Beef,2.63,47.74,5.57,448.14,1.3,0
Strawberry,18.92,83.97,118.07,1829.36,6.3,2
Apple,19.31,82.39,119.62,1677.57,9.5,2
Spinach,12.17,73.71,37.67,854.64,4.4,1
Fish,2.16,49.97,5.3,383.4,1.2,0
Yogurt,11.05,63.59,29.6,804.91,4.4,1
Potato,16.28,59.75,30.85,773.33,8.2,1
Strawberry,7.87,67.36,37.14,843.23,2.4,1
Chicken,3.18,54.54,6.58,431.17,1.6,0
Strawberry,4.51,50.92,5.21,428.71,0.5,0
Eggs,16.03,78.57,121.41,1731.67,12.6,2
Strawberry,11.2,63.62,37.23,759.31,2.9,1
Apple,4.22,51.49,2.46,421.85,1.6,0
Beef,21.38,80.73,146.68,1899.74,7.1,2
Bread,22.4,61.83,25.53,792.05,3.7,1
Strawberry,10.13,64.59,46.53,911.22,3,1
Strawberry,4.78,47.67,5.43,450.78,1,0
Beef,21.78,89.59,128.76,2182.25,6.3,2
Spinach,4.3,48.55,5.11,417.48,1.4,0
Orange,20.05,88.9,117.39,1916.46,11.3,2
Spinach,11.39,69.48,36.43,795.14,3.6,1
Spinach,5.45,46.12,5.26,386.57,1.5,0
Orange,5.49,50.71,5.47,423.36,2.5,0
Bread,25.49,78.35,98.64,1677.23,9.1,2
Apple,,48.11,4.41,425.38,2.1,0
Eggs,3.49,48.24,2.82,383.17,2.4,0
Cheese,7.92,61.24,32.85,766.05,6.8,1
Yogurt,3.08,41.05,5.31,407.74,1.7,0
Milk,8.01,68.31,42.03,669.42,3.4,1
Fish,9.35,75.01,43.78,867.58,2.1,1
Spinach,3.71,55.26,3.15,400.23,1.5,0
Mushroom,5.89,54.79,5.56,417.38,1.2,0
Apple,3.4,44.12,3.28,371.99,2.1,0
Apple,21.92,81.66,116.31,1964.41,10.7,2
Strawberry,4.45,51.31,7.47,402.93,1.2,0
Eggs,10.62,61.95,34.53,785.82,6.2,1
Fish,9.19,63.19,47.91,875.92,2.6,1
Eggs,19.92,72.23,107.82,1455.69,13.4,2
Mushroom,5.12,58.25,7.02,425.3,1.5,0
Yogurt,5.18,47.66,4.03,389.22,2.6,0
Mushroom,12.66,64.6,49.28,851.64,3.5,1
Beef,9.48,67.58,48.52,826.81,3.8,1
Orange,20.99,79.99,,1768.98,9.6,2
Bread,22.17,48.44,3.33,432.48,1.5,0
Milk,16.19,68.72,125.23,1775.55,8.3,2
Chicken,2.53,60.58,6.2,431.71,0.7,0
Potato,14.65,64.36,30.76,752.9,6.6,1
Beef,12.19,63.95,46,846.79,3.5,1
Bread,17.97,39.1,2.65,361.97,1,0
Mushroom,22.11,84.29,124.89,2038.75,4,2
Apple,11.42,63.61,40.09,724.91,5.2,1
Strawberry,3.67,57.53,6.29,,1,0
Bread,20.42,45.73,2.95,390.47,2.5,0
Chicken,21.73,84.54,137.27,1813.78,5.8,2
Apple,19.76,79.81,104.87,1714.62,9.8,2
Bread,19.09,48.38,5.33,364.79,1.9,0
Strawberry,3.93,47.42,3.86,413.32,1,0
Milk,8.34,58.71,25.91,754.85,4.1,1
Bread,20.22,60.84,28.88,788.2,4.3,1
Strawberry,5.46,56.73,2.25,395.84,0.5,0
Tomato,15.55,64.84,42.17,723.58,3.8,1
Beef,10.45,67.35,40.87,848.69,3.6,1
Beef,3.32,51.75,7.25,433.83,1.6,0
Potato,9.6,48.48,1.8,388.99,4.3,0
Mushroom,4.74,57.12,5.15,409.58,0.8,0
Bread,18.51,48.75,2.84,405.72,1.5,0
Yogurt,14.74,75.92,89.51,1676.53,10.8,2
Beef,3.19,56.42,4.17,366.35,0.8,0
Strawberry,6.03,45.02,6.67,417.34,1.2,0
Spinach,20.41,81.11,113.84,1862.97,7.7,2
Fish,14.95,85.34,136.2,1798.25,6,2
Tomato,22.27,82.66,133.23,1895.57,10.3,2
Mushroom,3.92,64.27,4.14,397.61,1.2,0
Orange,12.5,65.03,33.17,795.97,7.3,1
Milk,8.5,61.63,36.6,634.23,3.4,1
Eggs,17.51,75.52,88.47,1646.24,10.6,2
Bread,19.87,50.23,3.95,393.19,2,0
Fish,1.92,55.11,4.61,414.71,1.1,0
Milk,4.52,57.04,4.87,374.88,0.2,0
Strawberry,10.64,68.25,42.19,917.2,3.1,1
Yogurt,4.78,51.2,4.21,429.7,3.1,0
Eggs,10.93,63.58,34.36,728.71,6.4,1
Tomato,15.32,73.58,40.36,798.3,5.8,1
Spinach,18.25,86.15,122.65,1793.96,7.9,2
Beef,21.77,84.17,129.02,1914.34,6.2,2
Orange,12.74,64.97,33.91,832.37,6.8,1
Tomato,9.57,54.56,5.57,435.9,2.3,0
Bread,26.74,67.8,85.74,1526.31,9.5,2
Cheese,2.24,54.66,3.92,402.46,3.2,0
Eggs,2.99,45.72,3.48,412.06,3.5,0
Cheese,9.1,68.49,35.74,798.01,7.5,1
Mushroom,11.37,72.31,42.77,834.08,3.2,1
Milk,4.51,50.47,3.99,412.08,1.1,0
Eggs,4.22,52.02,,416.81,3.4,0
Cheese,4.45,54.78,4.4,458.67,3,0
Bread,19.1,56.78,35.54,832.3,5.3,1
Beef,12.86,68.63,45.26,982.49,3.9,1
Mushroom,11.73,75.07,37.13,799.05,2.3,1
Strawberry,10.27,69.81,44.69,760.13,3.2,1
Chicken,18.93,77.64,116.88,2033.79,6.3,2
Chicken,11.23,77.9,46.23,927.65,2.9,1
Cheese,8.93,64.53,36.77,802.66,6,1
Yogurt,10.12,59.86,34.44,775.27,6,1
Apple,13.03,61.71,28.28,839.95,6,1
Apple,20.39,82.57,120.25,1884.63,9.5,2
Mushroom,5.91,57.01,3.64,403.63,1,0
Milk,15.92,79.37,107.04,1674.48,6,2
Chicken,7.85,61.38,36.86,947.71,3.2,1
Fish,19.67,86.7,133.59,1911.59,3.5,2
Potato,13.26,60.02,20.91,759.5,7.8,1
Eggs,12.42,65.56,41.41,797.71,7.3,1
Fish,1.92,52.89,7.84,395.56,0.8,0
Apple,12.12,63.11,29.69,798.56,4.8,1
Potato,15.38,67.44,25.86,781.14,7.4,1
Yogurt,15.1,78.39,110.94,1534.4,9.5,2
Bread,24.46,70.94,83.91,1634.99,8.9,2
Bread,19.82,53.58,23.19,741.87,4.3,1
Chicken,20.28,75.7,128.61,1687.56,6.2,2
Spinach,21.61,72.99,100.04,1696.41,6.5,2
Fish,17.97,92.98,141.11,1822.87,2.5,2
Apple,6.15,46.5,4.92,408.13,1.9,0
Tomato,7.39,53.75,6.35,439.12,2.2,0
Beef,20.87,87.93,125.93,2042.14,5.6,2
Beef,11.89,72.54,47.04,874.2,3.6,1
Spinach,10.61,64.77,42.2,819,3.6,1
Apple,12.7,66.79,36.36,760.37,5,1
Tomato,7.81,45.94,4.48,396.84,1.8,0
Tomato,8.28,43.24,5.27,434.44,2.2,0
Milk,3.37,57.3,2.94,404.69,1.7,0
Spinach,10.44,66.85,40.75,851.48,5,1
Strawberry,10.35,65.04,44.61,728.99,3.6,1
Eggs,13.69,70.35,33.9,695.5,6.6,1
Potato,7.94,48.79,2.45,381.65,3.5,0
Fish,0.93,56.51,7.84,431.84,1.3,0
Potato,15.24,66.6,23.93,686.75,7.6,1
Yogurt,3.78,45.52,5.43,436.44,1.6,0
Bread,24.45,69.47,86.89,1712.12,7.1,2
Yogurt,9.21,50.51,42.67,764.1,5.6,1
Spinach,4.24,56.28,3.2,382.94,0.7,0
Tomato,16.19,72.72,47.63,801.83,5.5,1
Tomato,13.19,72.04,39.3,796.92,4.4,1
Mushroom,4.83,,2.68,,1.1,0
Fish,8.59,63.57,68.67,844.17,3.1,1
Milk,2.4,38.86,5.47,406.86,1.4,0
Beef,3.47,46.7,6.39,442.34,0.3,0
Orange,5.58,50.42,2.92,430.33,2.5,0
Eggs,8.43,62.52,37.3,810.68,8.4,1
Fish,7.12,67.94,57.01,909.96,2.3,1
Strawberry,22.27,85.34,135.54,1671.92,5.7,2
Bread,20.95,57.77,26.28,785.91,3.6,1
Mushroom,4.76,61.15,,416.28,1.1,0
Beef,10.48,65.56,47.78,807.53,3.6,1
Tomato,13.43,67.23,44.19,844.64,4.8,1
Beef,13.87,70.78,40.37,905.41,3.3,1
Yogurt,9.59,63.44,35.02,783.18,4.1,1
Yogurt,8.28,59.53,31.66,834.81,5.4,1
Tomato,14.38,65.72,53.86,784.86,5.6,1
Strawberry,11.07,69.05,39.79,773.45,3.2,1
Milk,15.15,76.89,105.94,1784.32,6.9,2
Cheese,8.09,73.25,43.2,759.87,8.4,1
Tomato,12.34,60.03,37.09,895.58,4.5,1
Strawberry,4.7,48.29,5.29,415.44,0.8,0
Potato,8.51,46.43,1.81,384.31,3.2,0
Potato,6.75,56.81,2.8,391.87,3.8,0
Eggs,4.51,37.91,3.97,436.76,2.7,0
Beef,3.1,54.16,5.34,400.68,1.2,0
Chicken,8.4,71.38,42.14,717.12,2.5,1
Eggs,4.67,51.49,4.36,411.19,3.3,0
Yogurt,4.65,47.48,4.58,428.57,1.6,0
Yogurt,8.23,60.1,26.59,822.67,4.6,1
Potato,18.73,66.26,113.45,1702.18,12,2
Cheese,4.55,45.36,3.93,381.13,2.3,0
Orange,23.8,80.87,108.52,1806.83,11.1,2
Potato,20.46,73.27,106.09,1611.64,12.7,2
Strawberry,18.53,87.61,129.85,1812.8,7.8,2
Chicken,9.98,69.66,49.54,747.05,2.9,1
Tomato,22.77,69.85,123.5,1600.9,11.8,2
Spinach,4.64,51.47,6.3,439.04,1.8,0
Strawberry,10.52,63.57,40.71,863.2,4.1,1
Potato,8.82,56.98,3.21,385.05,5.3,0
Mushroom,7.01,53.75,4.94,449.67,0.8,0
Milk,14.79,84.89,111.62,1680.06,7.4,2
Mushroom,12.94,56.53,57.28,861.56,3.5,1
Tomato,9.19,48.01,2.18,441.46,2.5,0
Mushroom,4.25,64.07,3.75,409.04,1,0
Eggs,9.65,59.34,34.27,799.18,7.1,1
Cheese,15.52,73.95,107.49,1597.39,12.9,2
Chicken,18.31,84.52,135.15,1881.74,6.9,2
Chicken,3.82,48.58,7.34,355.88,1.4,0
Strawberry,4.2,50.55,4.49,418.67,0.9,0
Strawberry,4.55,43.5,4.41,420.22,1,0
Strawberry,8.73,64.85,44.95,851.9,2.9,1
Fish,9.75,65.96,48.01,923.4,2,1
Eggs,11.13,56.03,36.65,755.07,8.1,1
Milk,9.44,62.39,28.57,727.27,3.2,1
Fish,3.57,56.78,7.13,459.78,1,0
Eggs,5.32,52.1,1.13,372.05,3.1,0
Beef,3.82,53.33,6.25,369.96,1.5,0
Beef,13.08,61.33,34.79,909.53,4.1,1
Potato,9.96,65.09,28.64,702.22,6.7,1
Mushroom,21.57,82.89,124.46,2105.75,7.5,2
Tomato,9.07,48.74,4.14,412.29,2.6,0
Spinach,17.47,80.44,120.02,1747.15,6.3,2
Chicken,3.17,47.02,4.73,372.18,1.3,0
Mushroom,,51.18,3.79,380.69,0.9,0
Tomato,7.47,53.56,4.38,424.17,1.9,0
Spinach,5.91,49.73,2.4,409.73,1,0
Potato,7.77,54.66,3.33,409.58,3.6,0
Yogurt,3.43,53.37,2.41,405.37,1.8,0
Orange,12.09,60.94,35.16,813.39,6.1,1
Milk,13.53,84.06,124.33,1725.66,7.8,2
Fish,8.96,63.19,53.85,867.13,2.6,1
Beef,20.79,88.58,133.34,1933.31,7.2,2
Strawberry,12.28,63.73,54.52,891.68,3.2,1
Chicken,21.59,91.68,127.83,1667.54,4.8,2
Yogurt,3.27,52.53,3.93,444.71,2.5,0
Milk,15.12,77.95,106.62,1668.79,7.1,2
Potato,12.34,56.85,29.2,738.35,7.8,1
Fish,8.27,74.73,54.14,862.33,2.2,1
Cheese,8.11,66.05,31.52,848.66,7.5,1
Mushroom,4.82,55.03,5.61,413.51,0.9,0
Eggs,4.41,48.98,2.3,396.83,3.6,0
Spinach,10.26,62.97,51.42,807.6,4,1
Yogurt,15.75,76.26,113.64,1771.71,7.9,2
Potato,17.64,81.15,111.18,1600.64,12.6,2
Cheese,4.03,53.48,4.56,376.16,2.2,0
Potato,6.38,50.41,4.54,347.73,3.3,0
Eggs,12.15,57.66,35.13,703.42,6.1,1
Orange,6.52,42.94,3.85,400.82,4.1,0
Yogurt,3.47,47.57,4.64,408.1,1.6,0
Chicken,2.46,48.37,4.55,420.32,0.7,0
Beef,10.21,75.27,,905.04,3.6,1
Orange,5.92,51.73,3.68,408.62,2.2,0
Chicken,2.02,47.45,3.04,442.46,0.7,0
Mushroom,4.75,61.26,7.19,415.07,0.9,0
Chicken,,57.78,50.93,844.06,3.3,1
Orange,6.37,44.1,3.1,417.03,3.2,0
Spinach,12.24,64.03,34.36,827.21,4.3,1
Fish,20.92,79.74,140.5,2103.39,5.5,2
Yogurt,2.76,53.56,3.22,408.28,2.2,0
Chicken,3.6,51.69,5.47,409.74,1.1,0
Strawberry,5.1,53.38,3.61,416.07,0.9,0
Orange,23.74,82.51,117,1590.3,11.2,2
Bread,20.31,53.68,27.01,747.11,4.2,1
Fish,16.95,85.24,158.5,1872.13,3.5,2
Cheese,15.89,73.81,110.67,1521.88,11.6,2
Tomato,21.53,87.15,113.86,1885.14,9,2
Milk,12.4,77.88,122.29,1729.42,7.9,2
Cheese,4.12,54.96,4.28,359.52,2.4,0
Bread,23.64,55.16,28.04,736.79,3.9,1
Chicken,19.11,85.27,129.07,2002.12,5.1,2
Apple,11.37,69.86,46.3,794.68,4.2,1
Milk,16.64,89.61,95.72,1792.57,7.4,2
Orange,20.19,83.91,101.82,1687.07,10.8,2
Potato,12.61,62.8,24.09,707.42,9.2,1
Tomato,14.96,69.29,46.04,901.56,3.8,1
Orange,13.36,58.06,33.5,725.35,7.7,1
Cheese,2.49,50.68,5.71,398.19,1.4,0
Orange,8.23,55.99,2.96,432.44,3.2,0
Fish,7.35,73.25,46.92,875.07,2.9,1
Apple,23.06,82.88,103.4,1449.08,9.3,2
Spinach,21.77,77.91,116.73,1810.92,6.9,2
Bread,22,42.8,2.87,399.93,1.6,0
Mushroom,17.95,93.3,140.24,1768.06,6.4,2
Cheese,3.7,53.49,5.5,359.38,4.1,0
Cheese,10.66,59.14,23.98,782.23,7.3,1
Cheese,14.19,74.6,114.61,1679.01,13.1,2
Spinach,21.5,84.36,139.95,2028.87,7.2,2
Milk,7.88,62.27,31.58,771.99,3,1
Spinach,11.29,64.48,35.23,793.25,3.2,1
Spinach,4.29,56.62,4.04,416.05,1.7,0
Mushroom,10.99,70.52,42.51,802.82,3.5,1
Potato,9.89,54.71,3.85,401.79,4.2,0
Spinach,4.29,56.87,5.16,403.56,1.6,0
Eggs,22.24,73.93,95.03,1565.77,12.6,2
Cheese,4.79,57.72,3.27,364.01,2.7,0
Tomato,14.11,64.06,42.47,813.82,5.7,1
Mushroom,12.48,57.52,37.33,828.12,2.2,1
Tomato,8.46,55.54,5.38,408.92,1.9,0
Strawberry,3.41,51.63,3.35,398.4,0.8,0
Chicken,2.42,60.67,4.57,420.09,1,0
Apple,3.91,49.03,2.63,410.54,2.1,0
Bread,21.7,53.65,31.28,792.82,2.7,1
Cheese,8.21,58.76,32.67,759.64,6.8,1
Eggs,13.19,59.56,34.39,752.05,7,1
Yogurt,17.56,76.56,113.91,1823.06,8.1,2
Cheese,17.7,80.45,111.25,1660.23,15,2
Fish,7.17,67.25,42.54,756.19,3,1
Strawberry,8.31,72.76,44.79,837.52,2.6,1
Milk,8.87,66.27,35.28,828.39,3.4,1
Mushroom,4.65,58.82,7.51,399.73,1.3,0
Spinach,4.44,57.51,3.78,395,1.6,0
Bread,19.05,45.72,2.79,406.62,1.9,0
Bread,23.38,57.52,32.56,781.34,3.2,1
Milk,8.34,55.89,40.62,865.98,3.6,1
Tomato,22.28,82.29,114.43,1667.28,6.8,2
Milk,3.33,48.59,3.44,399.04,1,0
Potato,7.18,49.72,3.02,388.95,4.5,0
Fish,4.07,58.27,5.7,396.6,1.6,0
Beef,22.24,83.78,144.22,1964.84,7.1,2
Strawberry,10.17,60.4,40.59,757.81,3.3,1
Bread,22.83,61.21,33.14,592.34,3.8,1
Mushroom,11.7,67.35,44.08,780.14,3.6,1
Chicken,1.53,46.3,3.25,423.98,0.7,0
Orange,24.15,72.77,110.88,1760.88,11.4,2
Spinach,17.75,84.25,94.59,2064.63,7.8,2
Beef,12.1,66.52,45.12,897.36,3.3,1
Orange,6.55,53.79,2.92,429.42,2.4,0
Cheese,8.05,62.83,,695.75,8,1
Apple,10.7,52.86,35.07,734.87,5,1
Fish,18.39,78.16,137.21,2072.58,6.7,2
Orange,,49.12,3.11,398.84,3.7,0
Cheese,15.19,74.96,106.44,1596.95,13.1,2
Mushroom,21.37,81.45,97.6,1800.26,5.5,2
Apple,5.01,49.99,4.03,385.73,2.1,0
Potato,14.79,60.1,28.65,816.77,8.6,1
Orange,7.36,48.81,3.34,422.33,2.7,0
Apple,3.69,44.55,4.37,402.38,1.8,0
Eggs,10.51,60.67,38.16,647.89,7.2,1
Spinach,4.89,55.86,4.47,436.93,1.2,0
Bread,20.21,40.21,3.76,426.94,1.8,0
Milk,7.01,72.14,40.34,710.53,3.6,1
Apple,21.08,80.17,123.59,1707.28,8.9,2
Strawberry,2.94,51.91,6.23,368.28,1,0
Fish,2.01,52.2,4.07,424.66,0.9,0
Tomato,7.94,51.98,4.48,410.36,2.9,0
Orange,6.23,51.15,3.12,383.08,3.1,0
Chicken,18.6,78.12,120.22,1836.54,7.8,2
Milk,9.93,66.82,40.86,791.29,2.6,1
Cheese,9.8,56.36,43.75,805.7,6.4,1
Milk,8.41,57.94,34.15,746.34,3.3,1
Milk,17.69,81.13,115.82,1651.21,6.8,2
Fish,10.21,65.4,46.89,877.78,2.6,1
Chicken,19.39,81.13,114.09,1989.4,5.5,2
Mushroom,11.94,57.52,48.23,907.31,3.4,1
Chicken,21.52,81.72,152.24,1872.45,7.2,2
Eggs,10.41,68.35,32.32,695.01,5.3,1
Yogurt,15.12,82.8,97.12,1494.5,8.8,2
Beef,4.34,59.64,1.09,429.67,1.2,0
Beef,9.27,67.83,56.91,882.04,4.3,1
Tomato,12.43,70.47,39.49,801,4.4,1
Orange,12.28,62.11,34.23,835.89,4.3,1
Chicken,11.14,58.38,39.77,904,3.5,1
Chicken,3.33,55.86,5.43,405.4,0.9,0
Mushroom,20.77,86.34,124.79,1773.81,4.8,2
Chicken,8.88,72.06,43.59,818.29,3.5,1
Fish,1.93,56.69,5.43,412.31,0.5,0
Fish,8.97,64.18,44.52,878.52,2.5,1
Milk,7.22,60.82,34.34,807.97,2.6,1
Chicken,3.98,55.95,5.02,421.08,1.2,0
Strawberry,2.88,53,4.39,363.15,0.8,0
Beef,12.31,67.01,51.45,875.77,2.7,1
Chicken,21.55,87.17,123.96,1721.92,5.9,2
Potato,7.39,49.54,4.24,416.29,4.6,0
Chicken,3.44,51.38,6.82,387.81,0.7,0
Yogurt,9.49,70.66,33.2,815.71,4.2,1
Mushroom,5.26,60.59,6.26,413.66,0.8,0
Eggs,17.79,76.24,116.85,1591.46,15,2
Eggs,20.06,81.26,121.96,1635.19,15,2
Chicken,20.17,82.11,131.75,1721.32,5.3,2
Bread,18.44,45.06,3.6,384.06,2.8,0
Mushroom,3.43,53.22,6.11,411.12,0.4,0
Tomato,14.56,67.74,41.33,817.74,5,1
Milk,5.34,54.16,4.75,427.53,1,0
Yogurt,4.27,37.32,6.55,401.23,2.6,0
Yogurt,9.92,65.23,32.48,826.34,5.6,1
Milk,6.86,62.75,35.61,728.73,2.8,1
Milk,3.24,52.64,3.62,413.03,0.9,0
Chicken,2.91,48.35,4.11,408.19,0.3,0
Milk,4.19,49.71,2.47,397.46,0,0
Beef,10.45,68.44,51.51,1018.81,3.6,1
Chicken,3.24,45.63,4.73,398.49,0.3,0
Beef,13.08,70.23,49.28,,2.7,1
Fish,7.47,75.03,44.12,911.48,2.6,1
Potato,16.42,69.02,37.74,649.93,8.6,1
Yogurt,17.91,77.96,98.95,1637.51,9.9,2
Tomato,20.49,90.9,99.55,1725.64,7.8,2
Cheese,4.02,48,5.31,394.61,3.2,0
Milk,3.9,48.76,4.2,367.31,0.6,0
Milk,13.34,79.57,111.46,1722.15,7,2
Strawberry,19.83,79.89,120.48,1864.71,5.4,2
Milk,4.4,54.65,4.21,436.37,1,0
Beef,23.21,79.99,138.9,1998.95,7.3,2
Tomato,24.05,89.86,128.39,1810.31,9.1,2
Fish,16.78,83.78,138.29,1979.31,4.9,2
Strawberry,2.91,56.97,1.8,388.65,1.4,0
Strawberry,9.05,70.06,43.54,859.91,2.8,1
Spinach,10.69,71.35,40.5,794.82,3.5,1
Fish,1.77,49.96,,437.6,0.8,0
Strawberry,3.89,53.32,3.48,360.83,1.3,0
Mushroom,5.61,50.01,4.76,419.82,0.9,0
Apple,20.25,79.72,107.33,1744.52,8.6,2
Mushroom,12.62,78.03,44.25,886.69,2.9,1
Yogurt,10.55,59.32,26.06,687.93,4.4,1
Cheese,4.13,48.77,6,406.25,3.1,0
Orange,22.28,85.52,95.11,1798.07,10.1,2
Potato,22.65,76.31,98.96,1648.87,14.1,2
Bread,22.75,58.57,30.47,717.63,4.3,1
Potato,9.17,57.26,4.18,423.91,3.4,0
Milk,4.74,50.95,3.19,384.2,1.4,0
Chicken,11.17,61.44,44.27,772.09,2.8,1
Milk,13.97,77.86,117.83,1620.52,6.2,2
Tomato,23.02,81.96,106.37,1860.69,8.1,2
Potato,9.36,53.01,4.25,390.47,5.1,0
Beef,3.41,56.78,7.6,435.02,0.5,0
Beef,2.75,53.89,4.85,426.53,0.7,0
Chicken,3.5,56.61,8.16,405.82,1.1,0
Eggs,10.7,64.21,31.98,723.21,8.6,1
Tomato,15.07,59.47,37.43,834.96,5.2,1
Eggs,16.64,76.04,115.95,,14,2
Bread,16.88,37.45,2.87,377.57,1.3,0
Bread,19.14,45.52,2.52,425.39,0.3,0
Potato,14.57,62.11,31.71,748.18,7.3,1
Strawberry,18.76,84.76,114.84,1890.76,6.7,2
Cheese,13.43,74.3,84.16,1811.92,13.1,2
Chicken,23.73,81.4,154.61,1879.83,5,2
Spinach,11.04,65.57,38.22,878.03,4,1
Eggs,5.26,46.68,2.67,407.23,4,0
